,,,,Total,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog
ar Argentina,21,4,619.8,716.8,86.5,9654,2686,335.8,363.8,92.3,237.5,266,89.3,35.3,57,61.8,1.25,1.07,0.9,0.17,10.8,42,10,1.75,30.5
au Australia,20,4,313.5,424,73.9,5622.3,2230.5,136.5,160.8,84.9,124.8,153,81.5,36.3,76.5,47.4,0.75,0.47,0.28,0.28,4.25,19.3,3.75,0.5,17
be Belgium,20,3,532.7,628.3,84.8,10129,3322.3,191.7,212.3,90.3,288.7,318.3,90.7,49.3,79,62.4,0.33,1.27,0.97,-0.93,9.67,34,6,0.67,33
br Brazil,26,4,528,616.3,85.7,8711.3,2869,250.3,274.3,91.2,226.5,256.8,88.2,36.3,58,62.5,1.25,1.63,1.48,-0.38,14,40,11.3,2,38.3
cm Cameroon,22,3,320,417.3,76.7,5943.7,2422.7,151.7,172,88.2,122.3,148,82.7,40.3,78,51.7,1.33,0.67,0.73,0.67,7,30,3.67,1,20.7
ca Canada,19,3,435.7,528.7,82.4,7354.7,2638.3,211.7,234.7,90.2,173,192.7,89.8,39,70,55.7,0.33,0.93,0.87,-0.6,9,34.3,8,4,28
cr Costa Rica,22,3,274.3,367,74.8,5102.7,2002,120.7,141.7,85.2,117.3,137,85.6,30.7,66.3,46.2,0.33,0.2,0.13,0.13,2.33,11.7,2.33,0.67,12.7
hr Croatia,18,4.3,497.9,606.5,82.1,8287.2,2719.5,249.3,274.9,90.7,187.9,219.3,85.7,44.9,75.6,59.4,1.16,0.93,0.88,0.23,7.67,29.5,9.3,3.26,32.6
dk Denmark,20,3,532.7,648,82.2,9581.7,3187.3,237,267.7,88.5,223.3,251,89,58.7,97.3,60.3,0.33,0.6,0.6,-0.27,9,51.3,8.33,2,44.3
ec Ecuador,18,3,384.3,491,78.3,6642,2251.7,182.7,205,89.1,156,181.3,86,37.3,78.3,47.7,0.67,0.6,0.53,0.07,6.67,20,5.67,3.33,17.3
eng England,20,4,578,667,86.7,10544.8,3155,248.3,267,93,265,289.3,91.6,57.5,85.3,67.4,2.75,1.25,1.02,1.5,8.75,34.8,9,1.25,37.8
fr France,24,4,551.8,646,85.4,9742.8,2921.5,258.5,280.8,92.1,236.8,260.3,91,50.8,82,61.9,2.25,1.88,1.73,0.38,13.8,50.5,9.75,4.25,32.8
de Germany,20,3,562,663.3,84.7,9290.3,3163.3,265.7,293.7,90.5,220.7,241.7,91.3,49.7,76.7,64.8,1.67,2.5,2.4,-0.83,17.3,42,16,4.67,44
gh Ghana,20,3,324,418.7,77.4,5550.7,2075,158.3,177.7,89.1,125.3,147.7,84.9,33,70,47.1,0.67,0.57,0.5,0.1,6,22.3,4,1.33,20.7
ir IR Iran,21,3,256.3,368.7,69.5,4716,1879,104,127.3,81.7,110.7,141.7,78.1,32,75,42.7,0.67,0.8,0.9,-0.13,8.67,18.3,5.67,1,18.7
jp Japan,22,4.3,307.9,407,75.7,5367.2,1836.3,147.9,170.9,86.5,125.6,151.6,82.8,29.1,65.8,44.2,0.93,0.81,0.58,0.12,7.21,23.5,5.58,1.86,18.4
kr Korea Republic,21,4,404.8,505.5,80.1,7534.8,2529.8,176.3,198,89,167.8,194.3,86.4,52.3,90,58.1,0.75,0.82,0.75,-0.07,9,37.5,9.5,3,28
mx Mexico,21,3,365.7,483.3,75.7,6622.7,2338.3,161,190,84.7,160.7,196,82,39,74,52.7,0.33,0.9,1.13,-0.57,8.33,31.7,6.33,3.33,25.7
ma Morocco,21,4.3,264.4,347.4,76.1,4590.5,1826.3,132.3,149.5,88.5,92.6,111.4,83.1,31.4,64.2,48.9,0.7,0.6,0.42,0.09,4.65,12.3,3.49,1.4,12.3
nl Netherlands,19,4,475,573,82.9,7873.8,2708,237.3,267,88.9,185.8,212,87.6,41.8,70,59.6,1.5,0.63,0.75,0.88,7.25,36.8,5.75,1,27.8
pl Poland,21,4,292.3,382.8,76.4,5463.8,2133.3,123.8,141,87.8,124.8,145,86,34.8,72.3,48.1,0.25,0.45,0.57,-0.2,5.5,20,3.75,2,12.5
pt Portugal,24,4,506.3,602.8,84,8917,2698,251,271.3,92.5,186.5,212,88,57.5,92.3,62.3,2.5,1.1,0.82,1.4,9.75,31.3,8,2.5,28.5
qa Qatar,20,3,376.3,469,80.2,6615.7,2107.3,173,193.3,89.5,142,164.7,86.2,45,76,59.2,0.33,0.4,0.53,-0.07,5.33,20.3,4.33,2,16.3
sa Saudi Arabia,23,3,290,401.7,72.2,4948,1942.7,139.7,162,86.2,105.3,137,76.9,31.7,68.3,46.3,0.67,0.47,0.47,0.2,6,23.3,7.67,1.67,25.3
sn Senegal,20,4,327.5,421.8,77.7,5725.8,1992.5,152.5,170.3,89.6,122.8,145.3,84.5,37.8,76.3,49.5,0.5,0.63,0.7,-0.13,9,23.3,7.25,2.5,20.3
rs Serbia,22,3,393.7,504.7,78,6948.7,2448.3,167,191,87.4,177,209.3,84.6,36.7,75,48.9,1.33,0.97,0.93,0.37,8.33,28.7,7,2.67,24.3
es Spain,21,4.3,823.7,920.2,89.5,14525.8,3637,330.9,353.3,93.7,415.8,446.7,93.1,62.3,83,75.1,1.16,0.93,1.02,0.23,8.6,67.7,10.7,1.86,40.7
ch Switzerland,24,4,415.8,515.8,80.6,7296.5,2396.5,179.8,201.8,89.1,191.3,221.5,86.3,36.8,66.3,55.5,1,0.9,0.9,0.1,6.75,27.3,5,0.5,29
tn Tunisia,21,3,332.7,450.7,73.8,6484.3,2506.7,118,141.7,83.3,174.3,203.7,85.6,38,85,44.7,0.33,0.63,0.6,-0.3,7.33,29.7,6.67,1.33,29.3
us United States,20,4,454,558.5,81.3,8078.3,2619.8,200,223.8,89.4,203.8,231.8,87.9,40,70.3,56.9,0.75,0.88,0.82,-0.13,9.25,32.5,7.5,1.5,30
uy Uruguay,19,3,385,499.3,77.1,6811.7,2398,175.7,207.7,84.6,152.3,187.7,81.2,45.3,74,61.3,0.33,0.93,0.9,-0.6,8.33,33.3,7.33,2,29.3
wls Wales,18,3,348,455.3,76.4,6958,2522.3,126.7,150.3,84.3,162,192.7,84.1,51.7,87,59.4,0,0.6,0.43,-0.6,6,20.7,4,1.67,21.7