,,,Standard,,,,,,,,,,,,Expected,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ar Argentina,21,4,1.75,13.8,5.5,40,13.75,5.5,0.11,0.27,17.1,0.5,0.25,0.5,1.9,1.55,0.12,-0.15,-0.05
au Australia,20,4,0.75,6.5,2,30.8,6.5,2,0.12,0.38,18.5,0,0,0,0.57,0.57,0.09,0.17,0.17
be Belgium,20,3,0.33,11.7,3,25.7,11.67,3,0.03,0.11,15.6,0.33,0,0,1.57,1.57,0.14,-1.23,-1.23
br Brazil,26,4,1.75,18.5,7.25,39.2,18.5,7.25,0.08,0.21,17.7,1.25,0.25,0.25,2.35,2.17,0.12,-0.6,-0.68
cm Cameroon,22,3,1.33,9.33,5.33,57.1,9.33,5.33,0.14,0.25,16.4,0.33,0,0,1.13,1.13,0.13,0.2,0.2
ca Canada,19,3,0.33,11.3,1.33,11.8,11.33,1.33,0.03,0.25,17,0.33,0,0.33,1.4,1.2,0.11,-1.07,-0.87
cr Costa Rica,22,3,1,4,2.33,58.3,4,2.33,0.25,0.43,17,0,0,0,0.47,0.47,0.13,0.53,0.53
hr Croatia,18,4.3,1.16,10.7,4.42,41.3,10.62,4.38,0.11,0.26,16.9,0,0,0,1.21,1.21,0.12,-0.05,-0.05
dk Denmark,20,3,0.33,11.3,3.33,29.4,11.33,3.33,0.03,0.1,17.1,0,0,0,0.9,0.9,0.09,-0.57,-0.57
ec Ecuador,18,3,1.33,9.67,3.33,34.5,9.67,3.33,0.1,0.3,18.2,0.33,0.33,0.33,1.23,0.97,0.11,0.1,0.03
eng England,20,4,3,11.8,5.25,44.7,11.75,5.25,0.26,0.57,14.5,0.5,0,0,1.57,1.57,0.14,1.43,1.43
fr France,24,4,2.25,17.5,5.75,32.9,17.5,5.75,0.13,0.39,15.4,0.5,0,0,2.15,2.15,0.13,0.1,0.1
de Germany,20,3,2,22.7,7.67,33.8,22.67,7.67,0.07,0.22,16.6,0.33,0.33,0.33,3.37,3.1,0.14,-1.37,-1.43
gh Ghana,20,3,1.67,8.33,3,36,8.33,3,0.2,0.56,19,0,0,0.33,1.37,1.13,0.14,0.3,0.53
ir IR Iran,21,3,1.33,10.7,2.67,25,10.67,2.67,0.09,0.38,20.6,0,0.33,0.33,1.07,0.93,0.09,0.27,0.07
jp Japan,22,4.3,1.16,10.2,3.26,31.8,10.15,3.23,0.11,0.36,16.8,0.47,0,0,1.16,1.16,0.12,0,0
kr Korea Republic,21,4,1.25,12.5,4.5,36,12.5,4.5,0.1,0.28,18.3,0.5,0,0,1.15,1.15,0.09,0.1,0.1
mx Mexico,21,3,0.67,13.7,5,36.6,13.67,5,0.05,0.13,21.9,2,0,0,1.1,1.1,0.08,-0.43,-0.43
ma Morocco,21,4.3,0.93,6.98,2.33,33.3,6.92,2.31,0.13,0.4,21.6,0.7,0,0,0.72,0.72,0.1,0.21,0.21
nl Netherlands,19,4,2,9,3.5,38.9,9,3.5,0.22,0.57,16.1,0,0,0,1,1,0.12,1,1
pl Poland,21,4,0.75,7.25,1.25,17.2,7.25,1.25,0.07,0.4,15.5,0.25,0.25,0.5,1.13,0.72,0.11,-0.38,-0.23
pt Portugal,24,4,3,13,5.25,40.4,13,5.25,0.19,0.48,19.9,0.5,0.5,0.5,1.73,1.32,0.1,1.27,1.18
qa Qatar,20,3,0.33,6.67,2,30,6.67,2,0.05,0.17,21.5,0,0,0,0.47,0.47,0.07,-0.13,-0.13
sa Saudi Arabia,23,3,1,9.33,2.67,28.6,9.33,2.67,0.11,0.38,18.7,0.67,0,0.33,1,0.7,0.08,0,0.3
sn Senegal,20,4,1.25,12.8,3,23.5,12.75,3,0.08,0.33,18.5,0.5,0.25,0.25,1.15,0.95,0.07,0.1,0.05
rs Serbia,22,3,1.67,10.7,3,28.1,10.67,3,0.16,0.56,16.5,0,0,0,1.13,1.13,0.11,0.53,0.53
es Spain,21,4.3,2.09,11.2,3.72,33.3,11.08,3.69,0.17,0.5,18.3,0.23,0.23,0.23,1.44,1.26,0.11,0.65,0.6
ch Switzerland,24,4,1.25,9.25,3,32.4,9.25,3,0.14,0.42,15.9,0.5,0,0,1.4,1.4,0.16,-0.15,-0.15
tn Tunisia,21,3,0.33,10.7,2.67,25,10.67,2.67,0.03,0.13,18,0,0,0,0.77,0.77,0.07,-0.43,-0.43
us United States,20,4,0.75,11.3,3.25,28.9,11.25,3.25,0.07,0.23,17.1,0.25,0,0,1.02,1.02,0.09,-0.28,-0.28
uy Uruguay,19,3,0.67,11,3.33,30.3,11,3.33,0.06,0.2,19.2,0.33,0,0,1.23,1.23,0.12,-0.57,-0.57
wls Wales,18,3,0.33,7.67,2,26.1,7.67,2,0,0,20.4,0.33,0.33,0.33,0.9,0.63,0.09,-0.57,-0.63